country,metric,date,source_file
Various Countries,contested election,11-2024,Afghanistan
Various Countries,contested election,12-2024,Afghanistan
Mozambique,contested election,10-2024,Afghanistan
Mozambique,contested election,11-2024,Afghanistan
Mozambique,contested election,12-2024,Afghanistan
Georgia,contested election,10-2024,Afghanistan
Ecuador,contested election,02-2023,Afghanistan
Ecuador,contested election,03-2023,Afghanistan
Ecuador,contested election,04-2023,Afghanistan
Ecuador,contested election,05-2023,Afghanistan
Ecuador,contested election,06-2023,Afghanistan
Ecuador,contested election,07-2023,Afghanistan
Ecuador,contested election,08-2023,Afghanistan
Ecuador,contested election,09-2023,Afghanistan
Ecuador,contested election,10-2023,Afghanistan
Ecuador,contested election,11-2023,Afghanistan
Ecuador,contested election,12-2023,Afghanistan
Guatemala,contested election,02-2023,Afghanistan
Guatemala,contested election,03-2023,Afghanistan
Guatemala,contested election,04-2023,Afghanistan
Guatemala,contested election,05-2023,Afghanistan
Guatemala,contested election,06-2023,Afghanistan
Guatemala,contested election,07-2023,Afghanistan
Guatemala,contested election,08-2023,Afghanistan
Guatemala,contested election,09-2023,Afghanistan
Guatemala,contested election,10-2023,Afghanistan
Guatemala,contested election,11-2023,Afghanistan
Guatemala,contested election,12-2023,Afghanistan
Poland,contested election,02-2023,Afghanistan
Poland,contested election,03-2023,Afghanistan
Poland,contested election,04-2023,Afghanistan
Poland,contested election,05-2023,Afghanistan
Poland,contested election,06-2023,Afghanistan
Poland,contested election,07-2023,Afghanistan
Poland,contested election,08-2023,Afghanistan
Poland,contested election,09-2023,Afghanistan
Poland,contested election,10-2023,Afghanistan
Poland,contested election,11-2023,Afghanistan
Poland,contested election,12-2023,Afghanistan
Turkey,contested election,02-2023,Afghanistan
Turkey,contested election,03-2023,Afghanistan
Turkey,contested election,04-2023,Afghanistan
Turkey,contested election,05-2023,Afghanistan
Turkey,contested election,06-2023,Afghanistan
Turkey,contested election,07-2023,Afghanistan
Turkey,contested election,08-2023,Afghanistan
Turkey,contested election,09-2023,Afghanistan
Turkey,contested election,10-2023,Afghanistan
Turkey,contested election,11-2023,Afghanistan
Turkey,contested election,12-2023,Afghanistan
Zimbabwe,contested election,02-2023,Afghanistan
Zimbabwe,contested election,03-2023,Afghanistan
Zimbabwe,contested election,04-2023,Afghanistan
Zimbabwe,contested election,05-2023,Afghanistan
Zimbabwe,contested election,06-2023,Afghanistan
Zimbabwe,contested election,07-2023,Afghanistan
Zimbabwe,contested election,08-2023,Afghanistan
Zimbabwe,contested election,09-2023,Afghanistan
Zimbabwe,contested election,10-2023,Afghanistan
Zimbabwe,contested election,11-2023,Afghanistan
Zimbabwe,contested election,12-2023,Afghanistan
Niger,military coup,07-2023,Afghanistan
Romania,contested election,12-2024,Afghanistan
Moldova,contested election,11-2024,Afghanistan
Moldova,contested election,12-2024,Afghanistan
Georgia,contested election,11-2024,Afghanistan
Georgia,contested election,12-2024,Afghanistan
Georgia,contested election,11-2024,Afghanistan
Afghanistan,contested election,09-2019,Afghanistan
Afghanistan,contested election,10-2019,Afghanistan
Afghanistan,contested election,11-2019,Afghanistan
Afghanistan,contested election,12-2019,Afghanistan
Afghanistan,contested election,01-2020,Afghanistan
Afghanistan,contested election,02-2020,Afghanistan
Afghanistan,contested election,02-2020,Afghanistan
Azerbaijan,contested election,02-2024,Afghanistan
Azerbaijan,contested election,02-2020,Afghanistan
Venezuela,contested election,05-2018,Afghanistan
Bangladesh,contested election,01-2024,Afghanistan
Afghanistan,contested election,02-2020,Afghanistan
Bangladesh,contested election,12-2018,Afghanistan
Bangladesh,contested election,12-2018,Afghanistan
Afghanistan,contested election,09-2019,Afghanistan
Afghanistan,contested election,10-2019,Afghanistan
Afghanistan,contested election,11-2019,Afghanistan
Afghanistan,crop failure,01-2023,Afghanistan
Afghanistan,crop failure,05-2024,Afghanistan
Afghanistan,natural disaster,05-2024,Afghanistan
Angola,crop failure,01-2025,Afghanistan
Angola,crop failure,02-2025,Afghanistan
Angola,crop failure,03-2025,Afghanistan
Angola,crop failure,04-2025,Afghanistan
Angola,crop failure,05-2025,Afghanistan
Angola,crop failure,06-2025,Afghanistan
Angola,crop failure,07-2025,Afghanistan
Angola,crop failure,08-2025,Afghanistan
Angola,crop failure,09-2025,Afghanistan
Angola,crop failure,10-2025,Afghanistan
Malawi,crop failure,01-2025,Afghanistan
Malawi,crop failure,02-2025,Afghanistan
Malawi,crop failure,03-2025,Afghanistan
Malawi,crop failure,04-2025,Afghanistan
Malawi,crop failure,05-2025,Afghanistan
Malawi,crop failure,06-2025,Afghanistan
Malawi,crop failure,07-2025,Afghanistan
Malawi,crop failure,08-2025,Afghanistan
Malawi,crop failure,09-2025,Afghanistan
Malawi,crop failure,10-2025,Afghanistan
Namibia,crop failure,01-2025,Afghanistan
Namibia,crop failure,02-2025,Afghanistan
Namibia,crop failure,03-2025,Afghanistan
Namibia,crop failure,04-2025,Afghanistan
Namibia,crop failure,05-2025,Afghanistan
Namibia,crop failure,06-2025,Afghanistan
Namibia,crop failure,07-2025,Afghanistan
Namibia,crop failure,08-2025,Afghanistan
Namibia,crop failure,09-2025,Afghanistan
Namibia,crop failure,10-2025,Afghanistan
Zambia,crop failure,01-2025,Afghanistan
Zambia,crop failure,02-2025,Afghanistan
Zambia,crop failure,03-2025,Afghanistan
Zambia,crop failure,04-2025,Afghanistan
Zambia,crop failure,05-2025,Afghanistan
Zambia,crop failure,06-2025,Afghanistan
Zambia,crop failure,07-2025,Afghanistan
Zambia,crop failure,08-2025,Afghanistan
Zambia,crop failure,09-2025,Afghanistan
Zambia,crop failure,10-2025,Afghanistan
Zimbabwe,crop failure,01-2025,Afghanistan
Zimbabwe,crop failure,02-2025,Afghanistan
Zimbabwe,crop failure,03-2025,Afghanistan
Zimbabwe,crop failure,04-2025,Afghanistan
Zimbabwe,crop failure,05-2025,Afghanistan
Zimbabwe,crop failure,06-2025,Afghanistan
Zimbabwe,crop failure,07-2025,Afghanistan
Zimbabwe,crop failure,08-2025,Afghanistan
Zimbabwe,crop failure,09-2025,Afghanistan
Zimbabwe,crop failure,10-2025,Afghanistan
Ethiopia,crop failure,03-2025,Afghanistan
Somalia,crop failure,03-2025,Afghanistan
South Sudan,crop failure,03-2025,Afghanistan
Afghanistan,natural disaster,01-2022,Afghanistan
Afghanistan,natural disaster,02-2022,Afghanistan
Afghanistan,natural disaster,03-2022,Afghanistan
Afghanistan,natural disaster,04-2022,Afghanistan
Afghanistan,economic concern,08-2021,Afghanistan
Afghanistan,economic concern,08-2021,Afghanistan
Afghanistan,economic concern,09-2021,Afghanistan
Afghanistan,crop failure,05-2025,Afghanistan
Afghanistan,crop failure,06-2025,Afghanistan
Somalia,crop failure,10-2020,Afghanistan
Somalia,crop failure,11-2020,Afghanistan
Somalia,crop failure,12-2020,Afghanistan
Somalia,crop failure,01-2021,Afghanistan
Somalia,crop failure,02-2021,Afghanistan
Somalia,crop failure,03-2021,Afghanistan
Somalia,crop failure,04-2021,Afghanistan
Somalia,crop failure,05-2021,Afghanistan
Somalia,crop failure,06-2021,Afghanistan
Somalia,crop failure,07-2021,Afghanistan
Somalia,crop failure,08-2021,Afghanistan
Somalia,crop failure,09-2021,Afghanistan
Somalia,crop failure,10-2021,Afghanistan
Somalia,crop failure,11-2021,Afghanistan
Somalia,crop failure,12-2021,Afghanistan
Somalia,crop failure,01-2022,Afghanistan
Somalia,crop failure,02-2022,Afghanistan
Somalia,crop failure,03-2022,Afghanistan
Somalia,crop failure,04-2022,Afghanistan
Somalia,crop failure,05-2022,Afghanistan
Somalia,crop failure,06-2022,Afghanistan
Somalia,crop failure,07-2022,Afghanistan
Somalia,crop failure,08-2022,Afghanistan
Somalia,crop failure,09-2022,Afghanistan
Somalia,crop failure,10-2022,Afghanistan
Somalia,crop failure,11-2022,Afghanistan
Somalia,crop failure,12-2022,Afghanistan
Somalia,crop failure,01-2023,Afghanistan
Somalia,crop failure,02-2023,Afghanistan
Somalia,crop failure,03-2023,Afghanistan
Somalia,crop failure,04-2023,Afghanistan
Somalia,crop failure,05-2023,Afghanistan
Somalia,crop failure,06-2023,Afghanistan
Somalia,crop failure,07-2023,Afghanistan
Somalia,crop failure,08-2023,Afghanistan
Somalia,crop failure,09-2023,Afghanistan
Somalia,crop failure,10-2023,Afghanistan
Somalia,crop failure,11-2023,Afghanistan
Somalia,crop failure,12-2023,Afghanistan
Kenya,crop failure,10-2020,Afghanistan
Kenya,crop failure,11-2020,Afghanistan
Kenya,crop failure,12-2020,Afghanistan
Kenya,crop failure,01-2021,Afghanistan
Kenya,crop failure,02-2021,Afghanistan
Kenya,crop failure,03-2021,Afghanistan
Kenya,crop failure,04-2021,Afghanistan
Kenya,crop failure,05-2021,Afghanistan
Kenya,crop failure,06-2021,Afghanistan
Kenya,crop failure,07-2021,Afghanistan
Kenya,crop failure,08-2021,Afghanistan
Kenya,crop failure,09-2021,Afghanistan
Kenya,crop failure,10-2021,Afghanistan
Kenya,crop failure,11-2021,Afghanistan
Kenya,crop failure,12-2021,Afghanistan
Kenya,crop failure,01-2022,Afghanistan
Kenya,crop failure,02-2022,Afghanistan
Kenya,crop failure,03-2022,Afghanistan
Kenya,crop failure,04-2022,Afghanistan
Kenya,crop failure,05-2022,Afghanistan
Kenya,crop failure,06-2022,Afghanistan
Kenya,crop failure,07-2022,Afghanistan
Kenya,crop failure,08-2022,Afghanistan
Kenya,crop failure,09-2022,Afghanistan
Kenya,crop failure,10-2022,Afghanistan
Kenya,crop failure,11-2022,Afghanistan
Kenya,crop failure,12-2022,Afghanistan
Kenya,crop failure,01-2023,Afghanistan
Kenya,crop failure,02-2023,Afghanistan
Kenya,crop failure,03-2023,Afghanistan
Kenya,crop failure,04-2023,Afghanistan
Kenya,crop failure,05-2023,Afghanistan
Kenya,crop failure,06-2023,Afghanistan
Kenya,crop failure,07-2023,Afghanistan
Kenya,crop failure,08-2023,Afghanistan
Kenya,crop failure,09-2023,Afghanistan
Kenya,crop failure,10-2023,Afghanistan
Kenya,crop failure,11-2023,Afghanistan
Kenya,crop failure,12-2023,Afghanistan
Ethiopia,crop failure,10-2020,Afghanistan
Ethiopia,crop failure,11-2020,Afghanistan
Ethiopia,crop failure,12-2020,Afghanistan
Ethiopia,crop failure,01-2021,Afghanistan
Ethiopia,crop failure,02-2021,Afghanistan
Ethiopia,crop failure,03-2021,Afghanistan
Ethiopia,crop failure,04-2021,Afghanistan
Ethiopia,crop failure,05-2021,Afghanistan
Ethiopia,crop failure,06-2021,Afghanistan
Ethiopia,crop failure,07-2021,Afghanistan
Ethiopia,crop failure,08-2021,Afghanistan
Ethiopia,crop failure,09-2021,Afghanistan
Ethiopia,crop failure,10-2021,Afghanistan
Ethiopia,crop failure,11-2021,Afghanistan
Ethiopia,crop failure,12-2021,Afghanistan
Ethiopia,crop failure,01-2022,Afghanistan
Ethiopia,crop failure,02-2022,Afghanistan
Ethiopia,crop failure,03-2022,Afghanistan
Ethiopia,crop failure,04-2022,Afghanistan
Ethiopia,crop failure,05-2022,Afghanistan
Ethiopia,crop failure,06-2022,Afghanistan
Ethiopia,crop failure,07-2022,Afghanistan
Ethiopia,crop failure,08-2022,Afghanistan
Ethiopia,crop failure,09-2022,Afghanistan
Ethiopia,crop failure,10-2022,Afghanistan
Ethiopia,crop failure,11-2022,Afghanistan
Ethiopia,crop failure,12-2022,Afghanistan
Ethiopia,crop failure,01-2023,Afghanistan
Ethiopia,crop failure,02-2023,Afghanistan
Ethiopia,crop failure,03-2023,Afghanistan
Ethiopia,crop failure,04-2023,Afghanistan
Ethiopia,crop failure,05-2023,Afghanistan
Ethiopia,crop failure,06-2023,Afghanistan
Ethiopia,crop failure,07-2023,Afghanistan
Ethiopia,crop failure,08-2023,Afghanistan
Ethiopia,crop failure,09-2023,Afghanistan
Ethiopia,crop failure,10-2023,Afghanistan
Ethiopia,crop failure,11-2023,Afghanistan
Ethiopia,crop failure,12-2023,Afghanistan
Somalia,crop failure,12-2021,Afghanistan
Somalia,crop failure,01-2022,Afghanistan
Somalia,crop failure,02-2022,Afghanistan
Somalia,crop failure,03-2022,Afghanistan
Somalia,natural disaster,12-2021,Afghanistan
Somalia,natural disaster,01-2022,Afghanistan
Somalia,natural disaster,02-2022,Afghanistan
Somalia,natural disaster,03-2022,Afghanistan
Zambia,crop failure,01-2025,Afghanistan
Zambia,crop failure,02-2025,Afghanistan
Zambia,crop failure,03-2025,Afghanistan
Zambia,crop failure,04-2025,Afghanistan
Zambia,crop failure,05-2025,Afghanistan
Zambia,crop failure,06-2025,Afghanistan
Zambia,crop failure,07-2025,Afghanistan
Zambia,crop failure,08-2025,Afghanistan
Zambia,crop failure,09-2025,Afghanistan
Zambia,crop failure,10-2025,Afghanistan
Afghanistan,crop failure,04-2019,Afghanistan
Afghanistan,economic concern,04-2019,Afghanistan
Afghanistan,natural disaster,04-2019,Afghanistan
Afghanistan,natural disaster,04-2018,Afghanistan
Zimbabwe,crop failure,01-2024,Afghanistan
Zimbabwe,crop failure,02-2024,Afghanistan
Gaza,natural disaster,04-2025,Afghanistan
Gaza,natural disaster,02-2025,Afghanistan
Spain,crop failure,07-2023,Afghanistan
Russia,economic concern,10-2024,Afghanistan
Russia,economic concern,11-2024,Afghanistan
Algeria,military coup,07-2023,Afghanistan
Niger,military coup,07-2023,Afghanistan
Mali,military coup,11-2023,Afghanistan
